REGISTRO_OPERADORA;CICLO;TP_AGRUPAMENTO;PCT_UNICO;PCT_AMBULATORIAL;PCT_INT_SEM_OBSTET;PCT_INT_COM_OBSTET;QT_CONTRATOS;QT_BENEF;RAZAO_SOCIAL
305928;2013;"Único";13,32;;;;33;398;"NOSAMED ASSISTÊNCIA MÉDICA LTDA."
305995;2013;"Único";9,89;;;;1019;8664;"GOOD LIFE SAUDE LTDA"
306100;2013;"Único";13,00;;;;4;12;"UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO"
306126;2013;"Único";8,77;;;;178;1672;"UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO"
306398;2013;"Subagrupado";;8,50;;9,50;1017;8941;"UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA."
306444;2013;"Único";9,50;;;;609;3648;"PLASAC PLANO DE SAÚDE LTDA"
306622;2013;"Único";17,50;;;;20317;139181;"AMICO SAÚDE LTDA"
306649;2013;"Único";11,29;;;;351;4313;"SERPRAM - SERVIÇO DE PRESTAÇÃO DE ASSISTÊNCIA MÉDICO-HOSPITALAR S.A."
306665;2013;"Único";8,51;;;;469;3228;"UNIMED DO GUARUJÁ COOPERATIVA DE TRABALHO MÉDICO"
306762;2013;"Único";5,93;;;;928;5977;"UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO"
306886;2013;"Único";8,29;;;;475;3358;"UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MÉDICO LTDA"
306959;2013;"Único";8,67;;;;58;335;"UNIMED ALTO URUGUAI/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA."
308005;2013;"Único";14,63;;;;14;200;"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE MOCOCA"
308811;2013;"Único";8,50;;;;8;81;"UNIMED VALE DO PIQUIRI-COOPERATIVA DE TRABALHO MÉDICO VALE DO PIQUIRI"
309087;2013;"Único";8,05;;;;229;1346;"UNIMED BARBACENA - COOPERATIVA DE TRABALHO MÉDICO LTDA"
309192;2013;"Único";20,37;;;;596;3192;"SAMED - SERVIÇOS DE ASSISTÊNCIA MÉDICA, ODONTOLÓGICA E HOSPITALAR S.A."
309222;2013;"Único";7,93;;;;2898;14282;"GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA"
309231;2013;"Único";7,91;;;;554;2430;"SAÚDE MEDICOL S/A"
309338;2013;"Único";10,05;;;;84;605;"HOSPITAL REGIONAL DE FRANCA S/A"
309401;2013;"Único";7,81;;;;20;234;"HOSPITAL NOSSA SENHORA DAS GRAÇAS LTDA."
309524;2013;"Único";10,31;;;;187;928;"UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO"
309907;2013;"Único";8,28;;;;389;2626;"UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO"
310131;2013;"Único";7,93;;;;36;271;"UNIMED PLANALTO - COOPERATIVA DE TRABALHO MÉDICO"
310239;2013;"Único";10,00;;;;83;670;"PESSOAL SAÚDE PLANOS DE ASSISTÊNCIA MÉDICA LTDA"
310247;2013;"Único";8,29;;;;1786;11955;"CIRCULO OPERARIO CAXIENSE"
310522;2013;"Único";7,81;;;;20;1128;"PROASA - PROGRAMA ADVENTISTA DE SAÚDE"
310891;2013;"Subagrupado";;7,81;;7,81;172;550;"IRMANDADE NOSSA SENHORA DAS GRAÇAS"
311146;2013;"Único";7,81;;;;88;556;"UNIMED COSTA VERDE RJ"
311294;2013;"Único";24,15;;;;234;1608;"UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO"
311359;2013;"Único";15,00;;;;309;1634;"FUNDAÇÃO DE SAÚDE ITAIGUAPY"
311375;2013;"Único";8,29;;;;305;1990;"UNIMED PELOTAS/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA."
311405;2013;"Único";15,22;;;;2437;12403;"SMS - ASSISTÊNCIA MÉDICA LTDA"
311472;2013;"Único";6,63;;;;17;133;"CEAM BRASIL - PLANOS DE SAÚDE LTDA"
311499;2013;"Único";8,05;;;;3;15;"FUNDAÇÃO BENEFICENTE RIO DOCE"
311618;2013;"Único";8,29;;;;115;615;"UNIMED MISSÕES/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA."
311715;2013;"Único";9,86;;;;328;1790;"UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA."
311847;2013;"Único";8,28;;;;56;658;"UNIMED REGIONAL DA BAIXA MOGIANA - COOPERATIVA DE TRABALHO MÉDICO"
311944;2013;"Único";7,93;;;;2;13;"UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MÉDICO"
311961;2013;"Único";22,56;;;;150;1345;"UNIMED DE MANAUS COOP. DO TRABALHO MÉDICO LTDA"
312282;2013;"Único";8,90;;;;134;757;"INTERMEDICI PIRACICABA ASSISTENCIA MEDICA LTDA"
312347;2013;"Único";18,77;;;;304;2997;"UNIMED ANÁPOLIS COOPERATIVA DE TRABALHO MÉDICO."
312592;2013;"Único";7,93;;;;74;795;"UNIMED NORTE FLUMINENSE COOPERATIVA DE TRABALHO MEDICO"
312649;2013;"Único";13,64;;;;15;199;"UNIMED AGRESTE MERIDIONAL - COOPERATIVA DE TRABALHO MEDICO LTDA"
312720;2013;"Único";7,93;;;;26;325;"UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS"
312762;2013;"Único";9,04;;;;37;418;"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PIRASSUNUNGA"
312851;2013;"Único";8,06;;;;577;6468;"UNIMED CAMPO GRANDE MS COOPERATIVA DE TRABALHO MÉDICO"
313084;2013;"Único";29,01;;;;40;494;"COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA"
313149;2013;"Único";9,04;;;;82;487;"UNIMED DE BATATAIS - COOPERATIVA DE TRABALHO MÉDICO"
313211;2013;"Único";15,34;;;;241;3473;"UNIMED VALE DO CAÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA."
313475;2013;"Único";14,98;;;;21;252;"UNIMED REGIONAL DE PICOS - COOPERATIVA DE TRABALHO MÉDICO"
313955;2013;"Único";9,49;;;;211;816;"UNIMED ALEM PARAIBA COOPERATIVA DE TRABALHO MEDICO LTDA"
314099;2013;"Único";6,79;;;;96;1207;"UNIMED VALE DO SEPOTUBA - COOPERATIVA DE TRABALHO MÉDICO"
314102;2013;"Único";43,74;;;;11;125;"IRMANDADE DA SANTA CASA DE MISERICORDIA DE BIRIGUI"
314170;2013;"Único";7,29;;;;40;333;"COOPERATIVA DE USUÁRIOS ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA - VIVAMED SAÚDE"
314218;2013;"Único";10,83;;;;2278;11727;"ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO"
314242;2013;"Único";7,93;;;;45;2367;"UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO"
314587;2013;"Único";7,81;;;;54;407;"UNIMED VIÇOSA - COOPERATIVA DE TRABALHO MÉDICO"
314609;2013;"Único";7,93;;;;494;3656;"UNIÃO SAÚDE LTDA."
314706;2013;"Único";7,93;;;;22;118;"HOSPITAL CESAR LEITE"
315265;2013;"Único";10,65;;;;424;3069;"PARANA ASSISTENCIA MEDICA LTDA"
315494;2013;"Único";6,01;;;;76;569;"UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA"
315630;2013;"Único";28,52;;;;112;839;"SOCIAL-SOCIEDADE ASSISTENCIAL E CULTURAL"
315648;2013;"Único";7,54;;;;45;475;"UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA"
315729;2013;"Único";15,91;;;;418;4597;"UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS"
315796;2013;"Único";5,88;;;;206;2187;"UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO"
316148;2013;"Único";7,21;;;;65;768;"UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS"
316172;2013;"Único";8,29;;;;2;24;"UNIMED ITAQUI RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA."
316491;2013;"Único";13,84;;;;309;3575;"IRMANDADE DA SANTA CASA DA MISERICÓRDIA DE SANTOS"
316881;2013;"Único";9,81;;;;113;774;"UNIMED TEOFILO OTONI COOPERATIVA DE TRABALHO MÉDICO"
317012;2013;"Único";7,91;;;;171;1589;"COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA"
317144;2013;"Único";14,10;;;;3414;12608;"UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA."
317896;2013;"Único";7,81;;;;119;627;"UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA"
318035;2013;"Único";7,93;;;;101;842;"UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO"
318213;2013;"Único";17,50;;;;4;33;"COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO"
318299;2013;"Único";8,05;;;;729;4805;"BENEFICENCIA CAMILIANA DO SUL"
318388;2013;"Único";7,81;;;;72;580;"UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO"
318477;2013;"Único";19,00;;;;22;103;"OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA."
318566;2013;"Único";7,29;;;;42;478;"UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO"
319121;2013;"Único";8,22;;;;3987;14013;"UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA"
319147;2013;"Único";23,56;;;;3068;16556;"FUNDAÇÃO WALDEMAR BARNSLEY PESSOA"
319180;2013;"Único";43,25;;;;44;293;"SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA LTDA"
319384;2013;"Único";16,28;;;;323;2627;"UNIMED PLANALTO MÉDIO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA."
319422;2013;"Único";8,85;;;;184;1597;"IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA"
319708;2013;"Único";14,21;;;;895;4760;"UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA"
319996;2013;"Único";14,89;;;;226;1764;"UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS"
320251;2013;"Único";15,25;;;;36;287;"UNIMED RIO VERDE COOPERATIVA TRABALHO MEDICO"
320510;2013;"Único";13,58;;;;92;455;"ATÍVIA SERVIÇOS DE SAÚDE S/A"
320706;2013;"Subagrupado";;20,87;;15,82;3792;17589;"UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO MÉDICO"
320862;2013;"Único";8,98;;;;121;1073;"UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO"
320897;2013;"Único";7,91;;;;161;984;"UNIMED CENTRO SUL FLUMINENSE COOPERATIVA DE TRABALHO MÉDICO"
321036;2013;"Único";9,00;;;;125;746;"UNIMED DE JEQUIÉ COOPERATIVA DE TRABALHO MÉDICO"
321044;2013;"Único";13,64;;;;45;578;"UNIMED JOAO PESSOA - COOPERATIVA DE TRABALHO MÉDICO"
321087;2013;"Único";7,81;;;;47;318;"UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA."
321095;2013;"Único";11,15;;;;87;828;"IRMANDADE DO HOSPITAL DE NOSSA SENHORA DAS DORES"
321273;2013;"Único";7,91;;;;991;6612;"UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MÉDICO"
321320;2013;"Único";14,45;;;;126;898;"IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI"
321338;2013;"Único";15,50;;;;112;854;"AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A."
321931;2013;"Único";7,93;;;;5;45;"CONFERÊNCIA SÃO JOSÉ DO AVAÍ"
321958;2013;"Único";7,93;;;;307;1746;"UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA."
322261;2013;"Único";15,10;;;;249;2161;"UNIMED DE FEIRA DE SANTANA COOPERATIVA DE TRABALHO MÉDICO"
322326;2013;"Único";7,81;;;;299;1613;"ASSOCIAÇÃO BENEFICENTE CATÓLICA"
322547;2013;"Único";7,81;;;;114;974;"UNIMED ANGRA DOS REIS COOPERATIVA DE TRABALHO MEDICO"
322571;2013;"Único";8,00;;;;110;812;"UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO"
322831;2013;"Único";7,91;;;;26;228;"UNIMED ITAJUBA COOPERATIVA DE TRABALHO MEDICO"
322920;2013;"Único";9,04;;;;0;0;"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE ARARAS"
323004;2013;"Único";25,00;;;;10;60;"UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO"
323055;2013;"Único";8,75;;;;90;750;"UNIMED NORTE PAULISTA - COOPERATIVA DE TRABALHO MÉDICO"
323268;2013;"Único";6,58;;;;311;2439;"UNIMED VALE DO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO"
323349;2013;"Único";12,50;;;;2;18;"CIME CIRURGIA E MEDICINA S/C LTDA"
323357;2013;"Único";25,40;;;;0;0;"UNIMED CABO FRIO COOPERATIVA TRABALHO MÉDICO LTDA."
323811;2013;"Único";10,85;;;;1426;5159;"ASSISTENCIA MEDICO HOSPITALAR SAO LUCAS S/A"
323926;2013;"Único";8,28;;;;67;671;"UNIMED SÃO JOÃO DEL REI - COOPERATIVA DE TRABALHO MÉDICO"
323977;2013;"Único";11,00;;;;137;1240;"IRMANDADE DO SENHOR BOM JESUS DOS PASSOS DA STA CASA DE MISERICORDIA DE BRAGANÇA PAULISTA"
323993;2013;"Único";9,04;;;;194;1112;"UNIMED PETROPOLIS-RJ COOPERATIVA DE TRABALHO MÉDICO"
324159;2013;"Único";8,04;;;;215;1968;"UNIMED ALTA MOGIANA COOPERATIVA DE TRABALHO MÉDICO"
324175;2013;"Único";8,05;;;;5;46;"UNIMED SUDOESTE DE MINAS COOPERATIVA DE TRABALHO MÉDICO"
324299;2013;"Único";7,93;;;;228;2066;"PLAMER PLANO MEDICO RESENDE LTDA"
324345;2013;"Único";8,29;;;;343;2463;"UNIMED COSTA DO DESCOBRIMENTO COOPERATIVA DE TRABALHO MÉDICO"
324493;2013;"Único";9,04;;;;7;102;"S.P.A SAUDE- SISTEMA DE PROMOÇÃO ASSISTENCIAL"
324566;2013;"Único";6,01;;;;154;956;"UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO"
324698;2013;"Subagrupado";;;;15,70;37;591;"CRUSAM CRUZEIRO DO SUL SERVIÇO DE ASSISTÊNCIA MÉDICA S.A."
324809;2013;"Único";73,35;;;;115;2672;"OPERADORA DE PLANOS DE SAUDE SANTA GENOVEVA S/S LTDA"
325031;2013;"Único";5,93;;;;140;1155;"UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO"
325074;2013;"Único";21,09;;;;11679;59582;"GREEN LINE SISTEMA DE SAÚDE S.A"
325082;2013;"Único";9,04;;;;2;47;"UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO"
325465;2013;"Único";20,00;;;;7;28;"AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA"
325571;2013;"Único";10,23;;;;4400;20449;"UNIMED NORDESTE RS SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS LTDA."
326305;2013;"Único";16,30;;;;81745;468211;"AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A."
326356;2013;"Único";14,55;;;;2002;21986;"SERVMED SAÚDE LTDA"
326500;2013;"Único";19,50;;;;394;4538;"SOBAM CENTRO MÉDICO HOSPITALAR S.A."
326861;2013;"Único";23,19;;;;273;3468;"PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A."
327352;2013;"Único";8,05;;;;288;909;"UNIMED SÃO SEBASTIÃO DO PARAÍSO COOPERATIVA DE TRABALHO MÉDICO"
327417;2013;"Único";10,82;;;;386;4046;"AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA"
327468;2013;"Único";15,44;;;;40;361;"UNIMED SUDOESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO"
327638;2013;"Único";9,00;;;;57;297;"UNIMED SÃO JOÃO NEPOMUCENO COOPERATIVA DE TRABALHO MÉDICO LTDA."
327689;2013;"Único";7,49;;;;562;3711;"UNIMED MACEIO COOPERATIVA DE TRABALHO MÉDICO"
328031;2013;"Único";8,05;;;;16;234;"UNIMED FEDERAÇAO DO ESTADO DO MATO GROSSO"
328073;2013;"Único";8,31;;;;186;1152;"UNIMED DE VOTUPORANGA - COOPERATIVA DE TRABALHO MÉDICO"
328294;2013;"Único";7,93;;;;1;3;"UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS"
328308;2013;"Único";6,01;;;;12;154;"UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO"
328375;2013;"Único";8,29;;;;40;321;"UNIMED REGIÃO DA FRONTEIRA - RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA."
328537;2013;"Único";13,00;;;;1107;8227;"MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA."
328596;2013;"Único";8,29;;;;92;946;"UNIMED URUGUAIANA/RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA."
329207;2013;"Único";18,81;;;;28;215;"CENTRO POPULAR PRO-MELHORAMENTOS DE BOM JESUS"
329339;2013;"Único";14,00;;;;1735;12066;"UNIMED DE CRICIÚMA COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO CARBONÍFERA"
329355;2013;"Único";9,04;;;;16;150;"IRMANDADE DE MISERICORDIA DE PORTO FERREIRA"
329525;2013;"Único";7,93;;;;101;870;"HOSPITAL NOVO ATIBAIA S/A"
329886;2013;"Único";11,28;;;;79;816;"UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO"
330108;2013;"Único";8,29;;;;88;554;"UNIMED CURVELO COOPERATIVA DE TRABALHO MÉDICO LTDA."
330116;2013;"Único";14,44;;;;75;660;"SANTA CASA DE MISERICÓRDIA DE VOTUPORANGA"
330264;2013;"Único";11,83;;;;431;1907;"UNIMED DE BARRA MANSA SOC. COOP. SERV.MED.E HOSPIT."
330566;2013;"Único";7,30;;;;41;428;"UNIMED RESENDE COOPERATIVA DE TRABALHO MÉDICO"
330892;2013;"Único";7,81;;;;109;775;"ASSOCIAÇÃO SAÚDE CONCEIÇÃO"
331341;2013;"Único";12,97;;;;107;1163;"UNIMED DE BEBEDOURO COOPERATIVA DE TRABALHO MÉDICO"
331651;2013;"Único";8,98;;;;341;1032;"UNIMED ARAXÁ COOPERATIVA DE TRABALHO MÉDICO LTDA."
331872;2013;"Único";8,05;;;;850;6639;"UNIMED SAO JOSE DOS CAMPOS - COOPERATIVA DE TRABALHO MEDICO"
332291;2013;"Único";5,92;;;;120;1255;"POLYMED - POLYCLÍNICA MÉDICA E OPERADORA DE PLANOS DE SAÚDE S/S LTDA"
333051;2013;"Único";21,00;;;;3036;16198;"UNIMED DE GUARULHOS COOPERATIVA DE TRABALHO MÉDICO"
333221;2013;"Único";10,94;;;;121;1110;"AMHPLA COOPERATIVA DE ASSISTENCIA MEDICA"
333514;2013;"Único";25,13;;;;99;1082;"CASA DE CARIDADE DE MURIAÉ - HOSPITAL SÃO PAULO"
333662;2013;"Único";24,35;;;;192;2463;"UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA"
333867;2013;"Único";6,42;;;;264;1814;"ASSOCIAÇAO UNISAUDE MARAU"
333875;2013;"Único";7,93;;;;82;361;"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PASSOS"
334154;2013;"Único";8,06;;;;64;413;"UNIMED DE CAÇAPAVA - COOPERATIVA DE TRABALHO MEDICO"
334561;2013;"Único";11,90;;;;1575;11940;"UNIMED BLUMENAU - COOPERATIVA DE TRABALHO MEDICO"
334651;2013;"Único";7,81;;;;206;2042;"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE SOROCABA"
334847;2013;"Único";7,91;;;;48;506;"UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA."
335100;2013;"Único";26,24;;;;466;3779;"UNIMED SAO JOSÉ DO RIO PRETO - COOP. DE TRABALHO MÉDICO"
335215;2013;"Único";6,59;;;;164;941;"UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA"
335479;2013;"Único";10,00;;;;464;2345;"UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA."
335517;2013;"Único";13,70;;;;443;1922;"UNIMED ITABIRA COOPERATIVA DE TRABALHO MÉDICO"
335541;2013;"Único";14,15;;;;406;3110;"UNIMED VALE DAS ANTAS, RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA."
335592;2013;"Único";7,93;;;;677;5971;"UNIMED NATAL SOC. COOP. DE TRAB. MÉDICO"
335690;2013;"Único";6,31;;;;4893;34953;"UNIMED CAMPINAS - COOPERATIVA DE TRABALHO MÉDICO"
336106;2013;"Único";11,35;;;;86;918;"UNIMED DE MARILIA COOPERATIVA DE TRABALHO MÉDICO"
336467;2013;"Único";8,29;;;;7;69;"UNIMED PATOS - COOPERATIVA DE TRABALHO MÉDICO"
336831;2013;"Único";12,38;;;;280;3184;"IRMANDADE SANTA CASA DE MISERICÓRDIA DE MARINGÁ"
336858;2013;"Único";7,91;;;;77;885;"UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO"
337188;2013;"Único";7,30;;;;399;4428;"COOPERATIVA DE TRABALHO MÉDICO DE POUSO ALEGRE"
337374;2013;"Único";7,93;;;;32;375;"UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MÉDICA LTDA"
337498;2013;"Único";7,93;;;;393;2295;"UNIMED TRÊS RIOS COOPERATIVA DE TRABALHO MÉDICO"
337510;2013;"Único";16,00;;;;469;4357;"MEDPLAN ASSISTÊNCIA MEDICA LTDA."
337561;2013;"Único";8,28;;;;120;814;"UNIMED VALE DO CARANGOLA COOPERATIVA DE TRABALHO MEDICO LTDA"
337668;2013;"Único";5,10;;;;200;1690;"UNIMED SERGIPE - COOPERATIVA DE TRABALHO MÉDICO"
337871;2013;"Único";25,00;;;;17;199;"UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA"
